,Questions,Answers
508,how was the proposed model tested, using two different datasets of weekly influenza confirmed cases in two countries namely the usa and china
509,what were the outcomes of the test,showed good performances
510,what are the large family of viruses called coronaviruses, pathogens for human beings which infect respiratory hepatic gastrointestinal and neurologic diseases
511,among whom are the coronaviruses distributed, among humans birds livestock mice bats and other wild animals 
512,in what the adaptive neurofuzzy inference system  is widely applied, in time series prediction and forecasting problems
513,what does anfis offer,flexibility in determining nonlinearity in the time series data as well as combining the properties of both artificial neural networks and fuzzy logic systems
514,in which applications has it been applied,in various forecasting applications for example in  a stock price forecasting model was proposed using anfis and empirical mode decomposition
515,what is si,swarm intelligence
516,what is pso,particle swarm optimization
517,what is sca,sinecosine algorithm
518,what is mvo,multiverse optimizer
519,for what sca algorithm was applied to improve the anfis model ,to forecast oil consumption in three countries namely canada germany and japan
520,what may be a problem with individual si algorithm,may stock at local optima
521,what is owa, ordered weighted averaging
522,what is proposed in the current study,an improved anfis model based on a modified flower pollination algorithm using the salp swarm algorithm 
523,what is the fpa optimization algorithm inspired by,inspired by the flow pollination process of the flowering plants
524,what is the ssa optimization algorithm inspired by,inspired by the behavior of salp chains
525,what is the proposed fpassa method, is a hybrid of fpa and ssa in which the ssa is applied as a local search method for fpa
526,how does the proposed fpassa start, by receiving the historical covid19 dataset
527,what do the authors propose,an efficient forecasting model to forecast the confirmed cases of the covid19 in china for the upcoming ten days based on previously confirmed cases
528,what is vacuolartype hatpase ,the major proton pump that acidifies intracellular compartments of eukaryotic cells
529,what is archazolid,vatpase inhibitor
530,how many complexes are within vatpase,two
531,what is the role of vatpase in the plasma membrane of osteoclasts and renal epithelial cells,they pump protons into the extracellular space
532,what does angiogenesis depend on,the proliferation migration and differentiation of endothelial cells
533,how were untreated mdamb231 cells labeled,celltracker green cmfda dye
534,what was the goal of the study,describe ge and rti outbreaks with infection and allcause lethality rates according to the individual characteristics of nursing home residents
535,what was the reported infection rate for influenza,300%
536,how many times more likely was an infection found in patients over 85 years old,15 to 16 times
537,what can be the main challenges in managing a hospital outbreak of covid19, early identification of outbreak rapid expansion of patients high risk of nosocomial transmission unpredictability of size impacted and lack of backup resource
538,why early identification of covid19 patients can be difficult,early identification of 2019ncov infection presents a major challenge
539,what are the steps that a hospital should take after covid19 outbreak,2019ncov patients should be admitted
540,why exposure risk of covid19 is very high for icu staff and what precautions should be taken, substantial exposure risk for icu staff because of the following reasons
541,use of sirseir model in statisticsbased predictions of coronavirus epidemic spreading,susceptible persons is s infected i removed r the infection and immunization rates 
542,what virus are used by the most successful neuronal circuit tracing methods,pseudorabies and rabies viruses 
543,in what direction does the vesicular stomatitis virus spread through the nervous system,anterograde
544,what determines the whether the spread of vesicular stomatitis virus is monosynaptic or polysynaptic,method of delivery of the g gene
545,what types of viruses can be used to study the connectivity of neuronal circuitry,rvsv vectors
546,what is carrageenan,a clinically proven and marketed compound for the treatment of viral upper respiratory tract infections
547,what is a potential therapeutic benefit of carageenan,carrageenan and zanamivir act synergistically against several influenza a virus strains pdm h3n2 h5n1 h7n7
548,what is the optimal window for initiating treatment with carageenan and zanamivir,72 hours post infection
549,what was the mortality rate of influenza a virus subtype h7n9 ,more than 35%
550,how many human cases were there of influenza a virus subtype h7n9,more than 400 human cases
551,how did most patients contract influenza a virus subtype h7n9,most patients with a infections had contact with poultry or visited live animal markets
552,can influenza a virus subtype h7n9 be transmit human to human,some sporadic cases seemed to be a result of human to human transmissions
553,what kind of disease is caused by influenza, influenza is an acute respiratory disease
554,how many severe cases are there for annual influenza epidemics, worldwide annual epidemics result in about three to five million cases of severe illness
555,how many deaths occur annually as a result of annual influenza epidemics,250000 to 500000
556,is coinfection common in influenza infection,influenza virus infections are often accompanied by other viral pathogens
557,what percentage of people infected with influenza have a viral coinfection,analysis by qrtpcr revealed that 545833% of influenza a or b positive patients were found to have at least one concomitant respiratory viral infection    the detection frequency with immunofluorescence was found to be even higher   
558,what are common concamitant infections during the course of influenza infection,human rhinovirus  respiratory syncytial virus adenovirus human coronavirus human metapneumovirus and parainfluenza virus
559,what is the antiviral mechanism of action for carrageenan,the antiviral mechanism of carrageenan is based on the interference with viral attachment as a consequence viral entry is inhibited 
560,what is the hypothetical mechanical benefit for carageenan in preventing and treating upper respiratory infections,a protective physical barrier in the nasal cavity
561,what is carageenan,a high molecular weight sulfated polymer derived from red seaweed that has been extensively used in food cosmetic and pharmaceutical industry and is generally recognized as safe by the fda 
562,what is the recovery benefit of carageenan in patients with any respiratory virus,19 day faster recovery from common cold symptoms than placebo treated patients in the intentiontotreat population
563,what is the antiinfluenza benefit of carageenan,antiinfluenza activity was shown by subgroup analysis of 49 influenza infected patients who benefited from a 33 days faster recovery from symptoms
564,what is the association between influenza viral load and carageenan,a significant reduction of the influenza viral load in nasal fluids and a significant increase in the number of virus free patients within the treatment period of 7 days
565,is oseltamivir effective when taken intranasally,in contrast to oseltamivir which needs to be activated by metabolic conversion zanamivir is directly applied as active drug and can also be administered intranasally
566,what is the effect of intranasal zanamivir on laboratory confirmed infleunza infection,challenge trials showed that treatment starting before and up to 36 hours post virus inoculation was associated with prevention of laboratory confirmed influenza and febrile illness as well as a reduction in viral titers duration of shedding and symptoms
567,do carageenan and zanamivir delivered intranasally have a benefit when taken for influenza subtype h7n7 infection,the combination of two effective established monotherapies resulted in a significantly enhanced survival in lethally h7n7 infected mice
568,do carageenan and zanamivir delivered intranasally have a benefit when taken for influenza subtype h1n1 infection,carrageenan and zanamivir starting 72 hpi significantly protects lethally influenza h1n1pdm infected mice
569,is there a dosedependent response to carageenan and zanamavir intranasal therapy,while h1n1pdm was highly sensitive to inhibition by both substances alone h7n7 required much higher concentrations of carrageenan and zanamivir respectively to achieve similar inhibition efficiencies
570,do carageenan and zanamavir together have a greater benefit than either in monotherapy,the h1n1pdm model the combination of carrageenan with 1 mgkg bwday zanamivir showed statistically significant enhanced survival in comparison to placebo treatment even after a treatment start 72 hpi
571,did the use of carageenan play a role in pandemic's caused by novel viruses,a second scope of this combination is the protection against newly emerging pandemic viruses during the time until identification of the virus followed by manufacturing and distribution of vaccines
572,how was ili defined,as a sudden onset of fever more than 38 degrees celsius and cough associated or not with other symptoms such as breathing difficulty headache etc 
573,what is this assay based on,on the multiplex ligationdependent probe amplification technology
574,how was random sampling performed, with excel 1 using the anonymized surveillance database of the cire oi the sampling frame contained identification number of swab assigned by cire oi laboratory identification number sex age date of onset of symptoms date of swab collection and result of influenza rtpcr
575,what used to detect pathogens, respifinder 1 smart 22 kits a multiplex rtpcr which can detect 22 respiratory pathogens 
576,what does the retrospective study use,nasal swabs collected by sentinel gps from ili patients in 2011 and 2012
577,how many swabs were randomly selected and analyzed,250 
578,how were the swabs analyzed, by multiplex reverse transcriptase polymerase chain reaction including research of 18 viruses and 4 bacteria
579,what viruses were detected,respiratory viruses in 169222 samples mostly rhinovirus  influenza a virus  influenza b virus  coronavirus and human metapneumovirus  
580,what coinfections were found,nine swabs revealed coinfections with two viruses identified among which six concerned coinfections with influenza viruses
581,what seasonal differences were found,seasonal differences with circulation of human metapneumoviruses rsv a and b and coronavirus only during summer whereas parainfluenza viruses were identified only during winter
582,what does the study highlight, a substantial circulation of multiple respiratory pathogens in réunion island throughout the year i
583,what does the study show,that ili are not only attributable to influenza and underlines the need for biological surveillance as the use of multiplex rtpcr showed its efficacy it is now used routinely in the surveillance of ili
584,which are identified as major viruses mostly responsible for ili and pneumonia in several studies,influenza viruses respiratory syncytial viruses and parainfluenza viruses
585,what percentage of these infections are identified,less than 50%
586,what is reunion island, a french overseas territory
587,what is the number of inhabitants of reunion island, 850000
588,where is reunion island located,n the southern hemisphere between madagascar and mauritius in the indian ocean 
589,what is the island's health care system similar to, to mainland france and epidemiological surveillance has been developed by the regional office of the french institute for public health surveillance  based on the surveillance system of mainland france
590,when does influenza activity increase, during austral winter corresponding to summer in europe
591,when does the influenza vaccination campaign in reunion island start,april 
592,what is the clinical and biological influenza surveillance has been based on,a sentinel practitioner's network
593,what is this network composed of,58 general practitioners spread over the island and represented around 7% of all réunion island gps
594,how are the influenza tests carried out, nasal swabs are randomly collected all along the year and are tested by rtpcr for influenza viruses
595,what do 4050% of the samples test positive for, for influenza a virus apdm09 or b virus
596,what are the ili samples wich test negative for influence,are of unknown etiology
597,what tool has been developed to identify several viruses simultaneously, multiplex reverse transcriptase polymerase chain reaction 
598,what are the objectives of the study,to characterize respiratory pathogens responsible for ili consultations in sentinel gps in 2011 and 2012 secondary objectives were to highlight seasonal trends on respiratory pathogens circulation and to describe occurrence of coinfections especially during the flu season
599,on which system the reverse transcription and preamplification steps were performed,on the epgradient mastercycler 1 and the hybridization ligation and detection steps on the lightcycler 1 480 system 
600,which two seasons were identified for trends in virus circulation,winter season during weeks 23 to 39 between june and september and summer season during the rest of the year
601,which were the most frequently identified respiratory pathogens, rhinovirus  influenza a not h1n1 and influenza b 
602,what were detected only in summer,human metapneumovirus rsv a and b and influenza apdm09
603,what viruses were identified only in winter,parainfluenza 12 and 4 viruses
604,respiratory viral pathogens were present in what percentage of samples,761
605,what did the study highlight,several coinfections showing that concomitant the multiple etiology of ili
606,how many swabs remained without etiology, 53 swabs representing 24% of the sample
607,what hypotheses can explain this result, a poor quality of swabs preventing from identifying a pathogen noninfectious causes or other pathogens not included in the multiplex pcr
608,what could not be tested for,rnase p a marker of human cells
609,what does this study highlight, circulation of multiple pathogens in réunion island throughout the year
610,what does the study show,that ili is not specific to influenza and so it is essential to have biological results in order to establish the differential diagnosis and thus explain the etiology of symptoms
611,what would be interesting to do,to repeat this study every 3 or 5 years adding clinical data to monitor the evolution of respiratory pathogens in réunion island over time
612,what is it most similar to,bat betacoronaviruses with the highest being 96% identity 
613,how many people were affected as of feb 10 2020,greater than 40000
614,how is the sarscov2 referred to, as coronavirus disease discovered in 2019 
615,how much similarity the sarscov2 genome sequence has with sarscov,∼80% identity with sarscov
616,what similarity human sarscov and palm civet sarslike cov share, 998% homology with a total of 202 singlenucleotide variations identified across the genome 
617,how much is the difference between the human sarscov2 and the bat ratg13cov,greater than 1100 nt 
618,why is it highly unlikely that ratg13 cov is the immediate source of sarscov2 ,are distributed throughout the genome in a naturally occurring pattern following the evolutionary characteristics typical of covs
619,what are the most revealing signs that sarscov2 evolved by natural evolution ,the absence of a logical targeted pattern in the new viral sequences and a close relative in a wildlife species bat
620,what did the nature medicine paper report,the construction of a chimeric cov with a bat cov s gene in the backbone of a sars cov that has adapted to infect mice and is capable of infecting human cells
621,why does the claim lack any scientific basis, because of significant divergence in the genetic sequence of this construct with the new sarscov2 
622,how was the mouseadapted sars virus generated,by serial passage of an infectious wildtype sars cov clone in the respiratory tract of balbc mice
623,how did the sarscov gain elevated replication and lung pathogenesis in aged mice ,due to six coding genetic mutations associated with mouse adaptation 
624,why is it likely that ma15 is highly attenuated to replicate in human cells,due to the mouse adaptation
625,why were civets proposed to be an intermediate host of the batcovs capable of spreading sars cov to humans,t was proposed that the s gene from batderived cov unlike that from human patientsor civetsderived viruses was unable to use human ace2 as a receptor for entry into human cells 
626,what was the finding in 2013,several novel bat coronaviruses were isolated from chinese horseshoe bats and the bat sarslike or slcovwiv1 was able to use ace2 from humans civets and chinese horseshoe bats for entry 
627, why is it proposed that some bat slcovs may be able to directly infect human hosts,combined with evolutionary evidence that the bat ace2 gene has been positively selected at the same contact sites as the human ace2 gene for interacting with sars cov [
628,what was done to test if an intermediate host may not be necessary and that some bat slcovs may be able to directly infect human hosts t, the exact s gene from bat coronavirus slshc014 was synthesized and used to generate a chimeric virus in the mouse adapted ma15 sarscov backbone 
629,what were the results of this test,the resultant slshc014ma15 virus could indeed efficiently use human ace2 and replicate in primary human airway cells to similar titres as epidemic strains of sarscov while slshc014ma15 can replicate efficiently in young and aged mouse lungs infection was attenuated and less virus antigen was present in the airway epithelium as compared to sars ma15 which causes lethal outcomes in aged mice
630,why were experiments with slshc014ma15 chimeric virus were later restricted,as gain of function studies under the us governmentmandated pause policy 
631,why is there no credible evidence to support the claim that the sarscov2 is derived from the chimeric slshc014ma15 virus,upon careful phylogenetic analyses by multiple international groups  the sarscov2 is undoubtedly distinct from slshc014ma15 with 6000 nucleotide differences across the whole genome
632,what did the rumour that the virus was made by humans in the lab claim,that sarscov2 has hiv sequence in it and was thus likely generated in the laboratory i
633,what was reported in a rebuttal paper led by an hiv1 virologist dr feng gao, they used careful bioinformatics analyses to demonstrate that the original claim of multiple hiv insertions into the sarscov2 is not hiv1 specific but random 
634,what happened to the report with initial claims, because of the many concerns raised by the international community the authors who made the initial claim have already withdrawn this report
635,what is the difference between evolution and synthetic constructs,evolution is stepwise and accrues mutations gradually over time whereas synthetic constructs would typically use a known backbone and introduce logical or targeted changes instead of the randomly occurring mutations that are present in naturally isolated viruses such as bat cov ratg13
636,what is the conclusion of this report, there is currently no credible evidence to support the claim that sarscov2 originated from a laboratoryengineered cov it is more likely that sarscov2 is a recombinant cov generated in nature between a bat cov and another coronavirus in an intermediate animal host 
637,what is the conclusion of this report,more studies are needed to explore this possibility and resolve the natural origin of sarscov2 we should emphasize that although sarscov2 shows no evidence of laboratory origin viruses with such great public health threats must be handled properly in the laboratory and also properly regulated by the scientific community and governments
638,what is the clinical manifestation similar to,to that of the severe acute respiratory syndrome caused by sarscov 
639,what was the purpose of the research,to evaluate the effectiveness of zinc supplementation on diarrhea and average daily weight gain in preweaned dairy calves
640,what preventative measure has been taken to decrease the incidence of diarrhea in children,zinc supplementation
641,what led to a great increase in their study among virologists worldwide,an outbreak in 1993–94 in the southwestern united states
642,how many hantaviral genotypes have been described,well over 40
643,how many of them are pathogenic for humans,nearly half of them
644,what do hantaviruses cause in their reservoir hosts,persistent infections
645,what does hantavirus human disease manifest as, a cardiopulmonary compromise hantavirus cardiopulmonary syndrome 
646,what is the casefatality ratios for the most common viral serotypes ,between 30% and 40%
647, what are among the factors that may have increased the human caseload of hcps between 1993 and the present, habitat disturbance and largerscale ecological disturbances perhaps including climate change
648,what do authors consider in this study, the features that influence the structure of host population dynamics that may lead to viral outbreaks
649,what do authors consider in this study,the macromolecular determinants of hantaviruses that have been regarded as having potential contribution to pathogenicity
650,which diseases are a major concern among scientists studying infectious diseases, emerging zoonotic diseases
651,what may alter population disease dynamics and lead to the emergence of zoonotic infections ,changes in biotic and abiotic conditions
652,which are among the conspicuous examples which challenge prevention and control measures of public health systems, influenza a ebola virus hepatitis c virus severe adult respiratory distress  coronavirus and human immunodeficiency virus
653,more recently what did outbreaks of several viralrelated diseases that have emerged or reemerged involve,hantaviruses and the expansion of the geographic range of west nile virus
654,what did in the last century outbreaks of viralrelated diseases that have emerged or reemerged involve,arenaviruses and dengue viruses
655,among zoonotic diseases what are hosts of several pathogenic rna viruses,small mammals
656,which pathogenic rna viruses are hosted by small mammals, arenaviridae and bunyaviridae hantavirus 
657,when did hantavirus infections became a concern in the americas, disease hantavirus cardiopulmonary syndrome hcps  was linked to 
658, what was the hantavirus cardiopulmonary syndrome hcps  linked to,infection by the newlydiscovered sin nombre virus 
659,what was identified as the reservoir of snv, the rodent peromyscus maniculatus 
660, what did a review of ancient chinese writings in 960 ad reveal,descriptions closely resembling hemorrhagic fever with renal syndrome  the syndrome caused by old world hantaviruses
661,how was hfrs first brought to the attention of western medicine ,with an outbreak that occurred among united nations troops during the korean conflict between 1951 and 1954
662,what is htnv, etiologic agent hantaan virus
663,where was htnv isolated from, from the striped field mouse apodemus agrarius
664,which new genus was the virus later found to represent,hantavirus of the family bunyaviridae
665,which was the first hantavirus to be isolated,the categorization of hantaviruses as belonging to the family bunyaviridae is due in part to
666,what is the categorization of hantaviruses as belonging to the family bunyaviridae due in part to, the consistent presence of three rna genomes that are circularized in vivo as a result of the presence of terminal complementary nucleotides that help fold the genome into a hairpin‖ morphology
667,what was the hairpin morphology first described for,uukuniemi phlebovirus 
668,how is the the precursor form gpc processed during virus maturation,a membrane bound protease into gn and gc a cleavage that occurs
669,when does the cleavage appear to be signaled,after the conserved peptide signal waasa at the cterminal of gn 
670,why must the two proteins gn and gc be coexpressed,to allow them stability so that the two can be assembled correctly in the golg
671,which two distinct cellular receptors the glycoproteins are the known or presumed ligands for, the 3 integrin chain and decay accelerating factor or daf
672,what is the underlying premise for many of these studies, blunt any pathological response in the host [
673,what is the premise for apathogenic forms to blunt any pathological response in the host,would tend to induce an earlier innate response that would render it more likely that the virus would be quickly cleared or rendered less competent in its replication
674,which proteins and mrnas prominently induced by hantaviruses include,hantaviruses have been identified as adversely affecting
675, what have hantaviruses been identified as adversely affect,endothelial migration over substrata 
676, what have hantaviruses been identified in potentiating, vegfinduced endothelial permeability
677,what is nprotein,a structural component of the viral nucleocapsid
678,what does the nprotein as an rnabinding protein do,engages the hairpin termini of the genomic segments with high affinity
679,as an rnabinding protein that engages the hairpin termini of the genomic segments what does the nprotein of hantavirus do, it limits the access of the rna to host nucleases 
680,as an rnabinding protein that engages the hairpin termini of the genomic segments what does the nprotein of hantavirus do, helps to render viral replication a closed process within the cytoplasm
681,what does the nprotein act as,a peripheral membrane protein
682, what can some of the other activities of n have be linked to, to the interference with an array of the intracellular processes of the normal cell
683, what can some of the other activities of n have be linked to, to fundamental requirements of replication
684,what is n also reported to interact with,with actin microfilaments and the sumo1 protein
685,how do the viral rnas become concentrated in p bodies during hantavirus infection, through their interaction with n and dcp1
686,what have confocal microscopy and biochemicalinhibitor studies shown, that n tracks along microtubules
687,what have confocal microscopy and biochemicalinhibitor studies shown on what n tracks,not with actin filaments 
688,what is the ultimate destination for n for its assembly into viral particles,the golgi
689,how does it traffic, via the endoplasmic reticulumgolgi intermediate complex  also known as vesiculartubular cluster 
690,what is a dominant negative inhibitor, dynamitin
691,what is dynamitin associated with,dyneinmediated transport
692,what is dynamitin associated with, reduced ngs accumulation in the golgi
693,what does recent data indicate, that microtubular transport is indeed utilized for the new world hantavirus snv
694,why have hantavirus diseases of man been suspected of having an immunopathogenic basis,plasma viral rna with
695,what is a critical feature of both, a transient capillary leak involving the kidney and retroperitoneal space in hfrs and the lungs in hcps
696,what is the character of he resulting leakage,is exudative in character with chemical composition high in protein and resembling plasma
697,which is an especially attractive candidate as an important in vivo receptor for hantaviruses, β3 integrin
698,what is the likely way that hantaviruses arrive at their target tissues,through uptake by regional lymph nodes perhaps with or within an escorting lung histiocyte
699,what does the virus seed,local endothelium
700,what happens with the viral seeding at the local endothelium, the first few infected cells give rise ultimately to a primary viremia
701,how long does the process of giving rise to primary viremia for hantavirus infections,appears to take a long time 
702,what happens by the time that secondary viremia emerges, the agents of the more severe forms of hfrs and hcps have begun to achieve sufficient mass
703,how is the the expression of proinflammatory cytokines induced, through pampprr interactions and other means
704, for hcps what does that expression favor,the pulmonary bed and lymphoid organs
705, for hcps what does that expression spare,the retroperitoneum and in general the kidney
706,what happens for hfrs, for hcps that expression favors the pulmonary bed and lymphoid organs yet for unknown reasons spares the retroperitoneum and in general the kidney in hfrs the situation is reversed
707,what is considered to be a requirement for the development of systemic disease symptoms,local elaboration of inflammatory and chemotactic mediators 
708,what do those abnormalities sometimes culminate in,shock and death
709,what leads to death in most fatal cases of hcps, not hypoxemia due to the prominent pulmonary edema
710,what leads to death in most fatal cases of hcps,intoxication of the heart by asyetundefined mediators that leads to the low cardiac output state and the associated shock syndrome 
711,what potential mechanism could be presumed to underlie the pathogenesis of hcps, innate immune mechanisms
712,what potential mechanism could be presumed to underlie the pathogenesis of hcps,direct viral effects
713,what potential mechanism could be presumed to underlie the pathogenesis of hcps,pathogenic effects caused by the activities of specific viral macromolecules
714,what explanation have some investigators favored  for much of the capillary leak,direct viral toxicity acting through the inhibition of endothelial cell barrier function
715, what animal models exist for both the asymptomatic carriage of puuv and snv,their native carrier rodents the bank vole myodes glareolus and the deer mouse p maniculatus
716,for what can the syrian hamster model used,andv or the related maporal virus from venezuela for which an hcpsmimetic disease is observed
717,what does the hamster model for hcps caused by,by capillary leak that results in pulmonary edema and the production of a pleural effusion with exudative characteristics
718, typically how long do the hamsters die postinoculation,11 and 14d
719,what does the microscopic examination of the lung reveal as with human hcps,abundant fibrin deposition thickened alveolar septa and viral antigen expressed abundantly in the microvascular endothelium
720,what do andvinfected hamsters fitted with physiologic monitoring devices exhibit,diminished pulse pressures tachycardia and hypotension
721,what do diminished pulse pressures tachycardia and hypotension in andv infected hamsters appear to closely mimic,the shock that is believed to be the proximate cause of demise in patients who succumb to hcps 
722,compared to humans what do andv infected hamsters exhibit,exceptionally high titers of live andv in their tissues with much of the viral replication occurring in hepatocytes
723,with what have three studies correlated plasma viral rna,with disease severity for hcps and hfrs
724,what are examples of delivery vectors for commercial antisalmonella vaccines,ty21a for typhoid fever in humans several salmonella serovars against salmonellosis in chickens and other animals
725,what can be a factor in using common vectors for the delivery of vaccines,commonly employed vectors for example salmonella and adenovirus often have preexisting immune responses in the host and this has the potential to modify the subsequent immune response to a vectored antigen 
726,is a preexisting immune response to commonly used delivery vector an advantage or a disadvantage,for bacterial vectors there can in fact in some cases be an enhancement in immunogenicity typically humoral while for viral vectors preexisting immunity is a hindrance for subsequent induction of cellmediated responses
727,what bacterial delivery vectors have been tested in animal hosts, attenuated bacteria including escherichia coli vibrio cholerae lactic acid bacteria  specifically lactococcus lactis mycobacterium listeria shigella and salmonella have been tested for the targeted delivery of heterologous antigens of bacterial viral and parasitic origin into a variety of animal hosts
728,which bacteial delivery vectors have gained favor for vaccines,bacteria such as e coli and lactic acid bacteria 
729,why are e coli and lactic acid are safe choices as delivery vectors for vaccines,e coli is a commensal and lactic acid bacteria are present in most fermented food items and are therefore naturally present in the host they are also a much safer option than traditional attenuated vaccines in children and immunecompromised people
730,what is listeria, listeria species are grampositive intracellular foodborne pathogens
731,what is the advantage of listeria as a delivery vector for vaccines,the advantages of listeria are that it can invade a variety of cells including antigen presenting cells  after invading the host cell listeria resides inside the phagosome however it can escape the phagosome with the help of listeriolysin o and reside in the cytoplasm of the cells thereby efficiently presenting antigen to both cd8 and cd4 t cells 
732,what are examples of viral vectors for delivering vaccines,recombinant vaccines are based on both dna viruses and rna viruses based vaccines to be used in horses against west nile virus] 
733,which viral vaccine delivery vector was first licensed,yfv was the first to be licensed for use in humans where the cdnas encoding the envelope proteins of yfv were replaced with the corresponding genes of an attenuated japanese encephalitis virus strain sa14142
734,what are examples of attenuated poxvirus vaccine delivery vectors,modified vaccinia virus ankara and new york attenuated vaccinia virus nyvac strains
735,what is the connection between chicken and salmonella,chickens are a natural animal reservoir for salmonella which makes them an important source of salmonellaassociated gastroenteritis in humans 
736,why are some poxvirus ideally suited as vaccine delivery vectors,they are ideal candidate vectors due to their large dnapacking capacity and their thermal and genetic stability 
737,what is the advantage of adenovirus as vaccine delivery vector,adenovirus vector is another of the most widely evaluated vectors to date to express heterologous antigens due to ease of production safety profile genetic stability the ease of dna genome manipulation and the ability to stimulate both innate and adaptive immune responses and induce both t and b cell responses 
738,what are important criteria for selecting vaccine delivery vectors,a vaccine should be inexpensive so that it can be administered to a large population at minimal cost
739,what are important criteria for selecting vaccine delivery vectors,safety is a major concern as even a low level of toxicity is unacceptable 
740,what are important criteria for selecting vaccine delivery vectors,longlasting cellular and humoral immune responses to the vectored antigen must be induced following administration of these vaccines preferably with a single dose
741,what happens when a recipient of a vaccine has immune response to the delivery vector,considering a vector such as salmonella if a host has previously been infected there will exist robust b and t memory responses and as such when a vaccination is delivered an anamnestic response to the salmonella antigens will be induced 
742,what is the effect of host immune response to the delivery vector on the efficacy of vaccination,for virally vectored antigens the existence of preexisting immunity to the vector will restrict delivery of the virus into cells thereby effectively reducing the dose of the vectored antigen again this might be expected to result in a reduction in the antigenicity of the vectored antigen
743,what is the effect of host immune response to the delivery vector on the efficacy of vaccination,theoretically reduce the exposure of the heterologous antigen to the immune system as the vector is rapidly cleared
744,what is an example of the effect of immunity to the delivery vector on the efficacy of vaccination,mice that had been primed with salmonella alone and then boosted with salmonella expressing tetc induced much lower antitetc responses than mice that had not been primed this argues strongly that prior immunological immunity to the vector can seriously dampen subsequent antigenspecific humoral responses
745,what is the effect of host immune response to viral delivery vectors in the efficacy of vaccination,preexisting immunity is a major obstacle of many viralvectored vaccines such as ad serotype 5 or herpes simplex virus type 1  where the rate of seroprevalence to these viruses is very high of the us population respectively] 
746,what is the effect of host immune response to the viral delivery vector on the efficacy of vaccination,vectorspecific antibodies may impede the induction of immune responses to the vaccineencoded antigens as they may reduce the dose and time of exposure of the target cells to the vaccinated antigens
747,what is the effect of host immune response to the delivery vector on the efficacy of vaccination, in a largescale clinical trial of an ad serotype 5 based hiv1 vaccine the vaccines showed a lack of efficacy and tended to increase the risk of hiv1 infection in vaccine recipients who had preexisting neutralizing antibodies to adhu5 
748,what are methods to avoid the effect vector immunity on the efficacy of vaccination, the use of vectors derived from nonhuman sources using human viruses of rare serotypes  heterologous primeboost approaches  homologous reimmunization and removing key neutralizing epitopes on the surface of viral capsid proteins 
749,what are methods to avoid the effect of vector immune response on the efficacy of vaccination,"the inhibitory effect of preexisting immunity can also be avoided by masking the ad vector inside dendritic cells   in addition mucosal vaccination or administration of higher vaccine doses can overcome preexisting immunity problems 
"
750,how does cellmediated immunity to viral delivery vector reduce the immune response to vaccine, this is because viruses will induce neutralizing antibody on the first dose and in subsequent doses this antibody will limit the number of transduced cells therefore limiting the responses this is particularly a problem with a common viral vector such as ad where a large proportion of the population will have immunological memory against common serotypes
751,how can vectors for which host has immunity be used differently to increase the efficacy of vaccination," it will be possible to utilize such vectors only by developing vaccines from alternative serotypes it may be that a vector such as preexisting immunity against vaccine vectors attenuated influenza virus with the ability to easily develop reassortants will be useful in this context

in addition immunological memory in the form of opsonizing antibody certainly plays an important role in the early uptake of salmonella by macrophages and dc this may be beneficial as the live bacterial vector used for delivery purposes harbours mutations in genes encoding proteins responsible for their survival in the animal host this not only encumbers their ability to cause disease making them safe live vectors but also limits the number of replications the presence of opsonizing antibodies should mean a higher level of bacterial uptake leading to higher presentation to the immune system and therefore a better immune response"
752,how does the ped virus transmit between animals,fecal–oral contact
753,how can bacilius subtilis be used as an oral vaccine,recombinant vaccine carrier
754,what cells are infected by the ped virus,intestine epithelial cells
755,what kind of immune responses are most effective in preventing ped virus,mucosal
756,what intestinal factors may reduce the effectiveness of orallyadministered immunizations,gastric acids pepsin and trypsin
757,what is bacillus subtilis,grampositive bacterium
758,what is the role of dendritic cells in the immune response,antigenpresenting cells
759,where do dendritic cells exist in the body,gutassociated lymphoid tissue 
760,what are the components of the gutassociated lymphoid tissue,peyer's patches  isolated lymphoid follicles  mesenteric lymph nodes  and scatter throughout the subepithelial lamina propria of the small intestine and colon
761,what type of cells form the intestinal mucosal barrier,lymphoid cells
762,what factors determine an effective mucosal immune response,serum igg and mucosal siga
763,what is an effective indicator of a vaccine's ability to generate an immune response,cytokines
764,what is interleukin1beta,proinflammatory cytokines
765,when was the first case of covid19 identified,wuhan city china
766,where did sarscov2 originate,wuhan city china
767,in what year did the first sars epidemic occur, rapid and transparent sharing of information between countries and agencies
768,when was world health organization first notified about the sarscov2 epidemic in wuhan city china,31 december
769,when did we discover that sarscov2 which causes covid19 was a novel coronavirus,26 january 2020
770,how long did it take to identify the cause of covid19,4 weeks
771,what type of test was initially developed to screen for sarscov2, reverse transcription polymerase chain reaction
772,how big was the temporary hospital built in wuhan city for treatment of covid19 patients,1000 bed hospital
773,how long did it take china to build the temporary hospital in wuhan for covid19 patients,10 days
774,what is a key factor in managing emerging infectious disease threats,transparent sharing of information between countries and agencies
775,in what year did the mers epidemic occur,2012
776,how long did it take to publish the full genomic sequence of sarscov2 after it was identified,2 weeks
777,what was the fatality rate for sarscov,10%
778,what was the fatality rate for mers,34%
779,what are some challenges associated with using media and social media to capture information about an emerging epidemic,the volume and diversity of the information available and the relative lack of verification mechanisms
